<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;21/09/18;10:01;112690.0000000;112780.0000000;112470.0000000;112580.0000000;2101
SPFB.RTS-12.18;1;21/09/18;10:02;112580.0000000;112590.0000000;112350.0000000;112480.0000000;3204
SPFB.RTS-12.18;1;21/09/18;10:03;112500.0000000;112550.0000000;112480.0000000;112530.0000000;1105
SPFB.RTS-12.18;1;21/09/18;10:04;112540.0000000;112630.0000000;112540.0000000;112590.0000000;1379
SPFB.RTS-12.18;1;21/09/18;10:05;112600.0000000;112650.0000000;112520.0000000;112600.0000000;1344
SPFB.RTS-12.18;1;21/09/18;10:06;112620.0000000;112740.0000000;112580.0000000;112710.0000000;1114
SPFB.RTS-12.18;1;21/09/18;10:07;112720.0000000;112960.0000000;112710.0000000;112940.0000000;3093
SPFB.RTS-12.18;1;21/09/18;10:08;112940.0000000;112950.0000000;112860.0000000;112910.0000000;1145
SPFB.RTS-12.18;1;21/09/18;10:09;112910.0000000;113090.0000000;112900.0000000;113010.0000000;2829
SPFB.RTS-12.18;1;21/09/18;10:10;113010.0000000;113060.0000000;112930.0000000;112980.0000000;1409
SPFB.RTS-12.18;1;21/09/18;10:11;112960.0000000;113080.0000000;112870.0000000;112870.0000000;1755
SPFB.RTS-12.18;1;21/09/18;10:12;112880.0000000;112920.0000000;112860.0000000;112910.0000000;398
SPFB.RTS-12.18;1;21/09/18;10:13;112910.0000000;113030.0000000;112880.0000000;112880.0000000;665
SPFB.RTS-12.18;1;21/09/18;10:14;112880.0000000;112960.0000000;112870.0000000;112930.0000000;307
SPFB.RTS-12.18;1;21/09/18;10:15;112920.0000000;112950.0000000;112820.0000000;112910.0000000;808
SPFB.RTS-12.18;1;21/09/18;10:16;112900.0000000;113000.0000000;112840.0000000;112860.0000000;1374
SPFB.RTS-12.18;1;21/09/18;10:17;112880.0000000;112960.0000000;112880.0000000;112950.0000000;578
SPFB.RTS-12.18;1;21/09/18;10:18;112930.0000000;112940.0000000;112850.0000000;112870.0000000;432
SPFB.RTS-12.18;1;21/09/18;10:19;112880.0000000;112880.0000000;112790.0000000;112830.0000000;875
SPFB.RTS-12.18;1;21/09/18;10:20;112830.0000000;112900.0000000;112780.0000000;112860.0000000;835
SPFB.RTS-12.18;1;21/09/18;10:21;112850.0000000;112920.0000000;112840.0000000;112910.0000000;591
SPFB.RTS-12.18;1;21/09/18;10:22;112900.0000000;112900.0000000;112810.0000000;112840.0000000;360
SPFB.RTS-12.18;1;21/09/18;10:23;112830.0000000;112840.0000000;112790.0000000;112800.0000000;329
SPFB.RTS-12.18;1;21/09/18;10:24;112820.0000000;112920.0000000;112800.0000000;112890.0000000;637
SPFB.RTS-12.18;1;21/09/18;10:25;112890.0000000;113040.0000000;112890.0000000;113020.0000000;877
SPFB.RTS-12.18;1;21/09/18;10:26;113030.0000000;113040.0000000;112920.0000000;112960.0000000;483
SPFB.RTS-12.18;1;21/09/18;10:27;112980.0000000;113020.0000000;112960.0000000;113010.0000000;453
SPFB.RTS-12.18;1;21/09/18;10:28;113000.0000000;113140.0000000;113000.0000000;113100.0000000;1798
SPFB.RTS-12.18;1;21/09/18;10:29;113100.0000000;113280.0000000;113090.0000000;113230.0000000;1540
SPFB.RTS-12.18;1;21/09/18;10:30;113220.0000000;113230.0000000;113150.0000000;113190.0000000;1023
SPFB.RTS-12.18;1;21/09/18;10:31;113190.0000000;113200.0000000;113110.0000000;113200.0000000;881
SPFB.RTS-12.18;1;21/09/18;10:32;113190.0000000;113240.0000000;113130.0000000;113130.0000000;609
SPFB.RTS-12.18;1;21/09/18;10:33;113130.0000000;113150.0000000;113040.0000000;113150.0000000;952
SPFB.RTS-12.18;1;21/09/18;10:34;113160.0000000;113180.0000000;113090.0000000;113120.0000000;342
SPFB.RTS-12.18;1;21/09/18;10:35;113120.0000000;113150.0000000;113080.0000000;113150.0000000;252
SPFB.RTS-12.18;1;21/09/18;10:36;113160.0000000;113180.0000000;113050.0000000;113070.0000000;491
SPFB.RTS-12.18;1;21/09/18;10:37;113060.0000000;113100.0000000;113000.0000000;113010.0000000;525
SPFB.RTS-12.18;1;21/09/18;10:38;113000.0000000;113050.0000000;112940.0000000;112960.0000000;705
SPFB.RTS-12.18;1;21/09/18;10:39;112950.0000000;112970.0000000;112870.0000000;112880.0000000;750
SPFB.RTS-12.18;1;21/09/18;10:40;112880.0000000;112950.0000000;112870.0000000;112880.0000000;481
SPFB.RTS-12.18;1;21/09/18;10:41;112890.0000000;112890.0000000;112810.0000000;112850.0000000;917
SPFB.RTS-12.18;1;21/09/18;10:42;112860.0000000;112910.0000000;112810.0000000;112860.0000000;938
SPFB.RTS-12.18;1;21/09/18;10:43;112850.0000000;112880.0000000;112810.0000000;112870.0000000;420
SPFB.RTS-12.18;1;21/09/18;10:44;112860.0000000;112910.0000000;112850.0000000;112880.0000000;481
SPFB.RTS-12.18;1;21/09/18;10:45;112880.0000000;112890.0000000;112760.0000000;112780.0000000;1022
SPFB.RTS-12.18;1;21/09/18;10:46;112780.0000000;112800.0000000;112690.0000000;112700.0000000;829
SPFB.RTS-12.18;1;21/09/18;10:47;112720.0000000;112770.0000000;112690.0000000;112740.0000000;332
SPFB.RTS-12.18;1;21/09/18;10:48;112740.0000000;112790.0000000;112730.0000000;112790.0000000;365
SPFB.RTS-12.18;1;21/09/18;10:49;112790.0000000;112800.0000000;112720.0000000;112760.0000000;276
SPFB.RTS-12.18;1;21/09/18;10:50;112780.0000000;112820.0000000;112760.0000000;112800.0000000;487
SPFB.RTS-12.18;1;21/09/18;10:51;112790.0000000;112810.0000000;112710.0000000;112710.0000000;530
SPFB.RTS-12.18;1;21/09/18;10:52;112710.0000000;112730.0000000;112680.0000000;112680.0000000;564
